hotel_code,hotel_name,address_line_1,address_line_2,description,amenities_json,pet_policy_description,pet_fees_json,weight_limits_json,phone,hotel_url,last_updated
boizb,Hyatt Place Boise / Downtown,1024 West Bannock Street,"Boise, Idaho, United States, 83702",,"['Business Services', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
We welcome your canine companions. Please call our hotel at +1 208 991 5275 prior to your arrival to let us know you’ll be bringing your dog(s). All dogs must be housebroken.
Pet Fees
Up to 6 nights: $75 / 1 STAY
7 - 30 nights (additional cleaning fee): $100 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\nUp to 6 nights: $75 / 1 STAY\n7 - 30 nights (additional cleaning fee): $100 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+12089915275,https://www.hyatt.com/hyatt-place/en-US/boizb-hyatt-place-boise-downtown,2025-12-27T22:22:12.153534
boizt,Hyatt Place Boise / Towne Square,925 North Milwaukee Street,"Boise, Idaho, United States, 83704",,"['Business Services', 'In-Room Chromecast', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self-Parking', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
Bring your furry best friend along to enjoy all the exciting sights and sounds of Boise. Our hotel is pet-friendly for up to two housebroken dogs. Please call ahead to let us know you'll be bringing canine company. Fees apply regardless of the duration. For stays exceeding 30 nights, please contact the hotel. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1–6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
30+ nights + additional cleaning fee: $300 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY\n30+ nights + additional cleaning fee: $300 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+12083751200,https://www.hyatt.com/hyatt-place/en-US/boizt-hyatt-place-boise-towne-square,2025-12-27T22:22:22.242892
boszb,Hyatt Place Boston / Braintree,50 Forbes Road,"Braintree, Massachusetts, United States, 02184",,"['Business Services', 'Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Restaurant On-Site']","Pets Are Welcome
Please call our hotel at +1 781 848 0600 prior to your arrival to let us know you’ll be bringing your dog(s). We allow a maximum of two dogs per room, and all dogs must be housebroken. 31 or more nights: Please contact the hotel
Pet Fees
1–6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17818480600,https://www.hyatt.com/hyatt-place/en-US/boszb-hyatt-place-boston-braintree,2025-12-27T22:22:33.696178
bosxb,Hyatt House Boston / Burlington,2 Van De Graaff Drive,"Burlington, Massachusetts, United States, 01803",,"['Business Services', 'In-Room Chromecast', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Meeting Facilities', 'Self Parking', 'Pet Friendly', 'Pool']","We Are Pet Friendly
We welcome your canine companions at Hyatt House Boston/Burlington. Please call ahead to let us know they’ll be joining you. All dogs must be housebroken. Fees apply regardless of the duration. For stays exceeding 30 nights, please contact the hotel. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1–6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
30 + nights + additional cleaning fee: $300 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY\n30 + nights + additional cleaning fee: $300 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17812700800,https://www.hyatt.com/hyatt-house/en-US/bosxb-hyatt-house-boston-burlington,2025-12-27T22:22:47.327534
boszm,Hyatt Place Boston / Medford,116 Riverside Avenue,"Medford, Massachusetts, United States, 02155",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
We are pet friendly, and your canine companions will enjoy a warm welcome at Hyatt Place Boston/Medford. Prior to your arrival, please call our hotel at +1 781 395 8500 to let us know you’ll be bringing your dog(s). All dogs must be housebroken. 31 nights or more: Please contact the hotel.
Pet Fees
1–6 nights: $75 / 1 STAY
7–30 nights (includes cleaning fee): $175 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $75 / 1 STAY\n7–30 nights (includes cleaning fee): $175 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17813958500,https://www.hyatt.com/hyatt-place/en-US/boszm-hyatt-place-boston-medford,2025-12-27T22:22:58.092589
bosxw,Hyatt House Boston / Waltham,54 Fourth Avenue,"Waltham, Massachusetts, United States, 02451",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self Parking', 'Pet Friendly']","We Are Pet Friendly
At the Hyatt House Boston/Waltham, we welcome you and your furry friend. Fees apply regardless of the duration. For stays exceeding 30 nights, please contact the hotel.
Pet Fees
1–6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17812900026,https://www.hyatt.com/hyatt-house/en-US/bosxw-hyatt-house-boston-waltham,2025-12-27T22:23:08.055618
denxb,Hyatt House Boulder / Broomfield,13351 W. Midway Blvd.,"Broomfield, Colorado, United States, 80020",,"['Business Services', 'Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly']","We Are Pet Friendly
Like the rest of Broomfield, the Hyatt House Boulder/Broomfield loves dogs. Please call our hotel at +1 720 890 4811 prior to your arrival to let us know you’ll be bringing your dog(s).
Pet Fees
1–6 nights: $75 / 1 STAY
7–30 nights (includes cleaning fee) : $175 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $75 / 1 STAY\n7–30 nights (includes cleaning fee) : $175 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17208904811,https://www.hyatt.com/hyatt-house/en-US/denxb-hyatt-house-boulder-broomfield,2025-12-27T22:23:18.598344
denzb,Hyatt Place Boulder / Pearl Street,2280 Junction Pl,"Boulder, Colorado, United States, 80301",,"['Business Services', 'Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool']","Pets Are Welcome
Like the rest of Boulder, Hyatt Place Boulder/Pearl Street loves dogs. Please call our hotel at +1 303 442 0160 prior to your arrival to let us know you’ll be bringing your four-legged friend, and make sure you stop by the front desk for a treat. All dogs must be housebroken.
Pet Fees
1–6 nights: $75 / 1 STAY
7–30 nights (includes cleaning fee) : $175 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $75 / 1 STAY\n7–30 nights (includes cleaning fee) : $175 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+13034420160,https://www.hyatt.com/hyatt-place/en-US/denzb-hyatt-place-boulder-pearl-street,2025-12-27T22:23:30.628348
erwxa,Hyatt House Branchburg / Bridgewater,3141 Route 22 East,"Branchburg, New Jersey, United States, 08876",,"['In-Room Chromecast', 'Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","We Are Pet Friendly
Hyatt House Branchburg is pet-friendly! All pets must be housetrained. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1–6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+19087042191,https://www.hyatt.com/hyatt-house/en-US/erwxa-hyatt-house-branchburg-bridgewater,2025-12-27T22:23:43.991403
iahxb,Hyatt House Bryan / College Station,3062 Wildflower Dr.,"Bryan, Texas, United States, 77802",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self Parking', 'Pet Friendly', 'Pool']","We Are Pet Friendly
Bring your pets along on your next road trip. They’ll love curling up at the foot of the bed in our dog-friendly rooms. And if your furry friends get restless, they can run free and socialize with other dogs at Hudson Park, located 2 miles away.
Pet Fees
1-6 Nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1-6 Nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+19797046744,https://www.hyatt.com/hyatt-house/en-US/iahxb-hyatt-house-bryan-college-station,2025-12-27T22:23:56.438462
bufza,Hyatt Place Buffalo / Amherst,5020 Main Street,"Amherst, New York, United States, 14226",,"['Business Services', 'In-Room Chromecast', 'Digital Check-In', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
We’re happy to host you and your furry friend at our pet-friendly hotel near the Buffalo airport. Prior to your arrival, please call our hotel at +1 716 839 4040 to let us know you’ll be bringing your dog. All dogs must be housebroken.
Pet Fees
1–6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17168394040,https://www.hyatt.com/hyatt-place/en-US/bufza-hyatt-place-buffalo-amherst,2025-12-27T22:24:07.039230
cakzn,Hyatt Place Canton,5421 Whipple Ave NW,"Canton, Ohio, United States, 44720",,"['Business Services', 'Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
Bring your furry friend along to enjoy all the exciting sights and sounds of Canton. Call ahead at +1 330 244 1700 to let us know you're bringing canine company. Pets exceeding the weight restrictions are at the hotel’s discretion. Guests staying 30+ nights, please contact the hotel. Service animals are not subject to pet policy. Please see our full description on the policy page for more details.
Pet Fees
1–6 nights (nonrefundable-tax included): $100 / 1 STAY
7–30 nights (nonrefundable-tax included): $100 / 1 STAY + $100 Additional cleaning fee
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights (nonrefundable-tax included): $100 / 1 STAY\n7–30 nights (nonrefundable-tax included): $100 / 1 STAY + $100 Additional cleaning fee'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+13302441700,https://www.hyatt.com/hyatt-place/en-US/cakzn-hyatt-place-canton,2025-12-27T22:24:17.570033
cmizc,Hyatt Place Champaign / Urbana,217 N. Neil Street,"Champaign, Illinois, United States, 61820",,"['Business Services', 'Concierge', 'Digital Check-In', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly']","Pets Are Welcome
Hyatt Place Champaign/Urbana is the perfect, pet-friendly hotel for you and your dog. Call +1 217 531 2800 before your arrival to let us know you are bringing your dog or, maximum, two dogs. All pets must be housebroken.
Pet Fees
1-6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1-6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+12175312800,https://www.hyatt.com/hyatt-place/en-US/cmizc-hyatt-place-champaign-urbana,2025-12-27T22:24:27.791999
iadzs,Hyatt Place Chantilly / Dulles Airport - South,4994 Westone Plaza,"Chantilly, Virginia, United States, 20151",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool']","Pets Are Welcome
Your furry friends are always welcome here at Hyatt Place Chantilly/Dulles Airport-South. All dogs must be housebroken. For those staying 30+ nights, a fee will be charged at the hotel’s discretion. (2) dogs are allowed per room weighing less than 50 lbs. each. Fees apply regardless of the duration. For stays exceeding 30 nights, please contact the hotel. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1-6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1-6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17039618160,https://www.hyatt.com/hyatt-place/en-US/iadzs-hyatt-place-chantilly-dulles-airport-south,2025-12-27T22:24:38.117473
rduzc,Hyatt Place Chapel Hill / Southern Village,3690 S Columbia Street,"Chapel Hill, North Carolina, United States, 27517",,"['Business Services', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Self Parking', 'Pet Friendly']","Pets Are Welcome
Hyatt Place Chapel Hill/Southern Village is dog friendly. All dogs must be housebroken. Call our hotel at +1 919 929 9511 prior to your arrival to let us know you’ll be bringing your dog(s).
Pet Fees
1-6 nights: $100 / 1 STAY
7-30 nights: $100 / 1 STAY
Additional Cleaning Fee: 7-30 nights: $100 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1-6 nights: $100 / 1 STAY\n7-30 nights: $100 / 1 STAY\nAdditional Cleaning Fee: 7-30 nights: $100 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+19199299511,https://www.hyatt.com/hyatt-place/en-US/rduzc-hyatt-place-chapel-hill-southern-village,2025-12-27T22:24:48.710885
chsxh,Hyatt House Charleston / Historic District,560 King Street,"Charleston, South Carolina, United States, 29403",,"['Business Services', 'Concierge', 'Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","We Are Pet Friendly
At Hyatt House Charleston/Historic District, we know pets are part of the family. That’s why we welcome your furry friend to join you during your stay. Ask us about dog-friendly parks and trails near the hotel, plus restaurants and bars with dog-friendly patios in the area.
Pet Fees
Price: $75 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\nPrice: $75 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+18434144900,https://www.hyatt.com/hyatt-house/en-US/chsxh-hyatt-house-charleston-historic-district,2025-12-27T22:24:59.453998
chszh,Hyatt Place Charleston / Historic District,560 King Street,"Charleston, South Carolina, United States, 29403",,"['Business Services', 'Concierge', 'Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","We Are Pet Friendly
Your pets are welcome at Hyatt Place Charleston/Historic District. Ask us about dog-friendly parks and trails near our hotel, plus restaurants and bars with dog-friendly patios in the area.
Pet Fees
Price: $75 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\nPrice: $75 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+18434144900,https://www.hyatt.com/hyatt-place/en-US/chszh-hyatt-place-charleston-historic-district,2025-12-27T22:25:08.302179
chszc,Hyatt Place Charleston Airport / Convention Center,3234 West Montague Avenue,"North Charleston, South Carolina, United States, 29418",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', '24 HR Grab n Go Market']","Pets Are Welcome
Your four-legged friends are welcome to sit, stay and roll over at Hyatt Place Charleston Airport/Convention Center. Please call our hotel at +1 843 302 8600 prior to your arrival to let us know you’ll be bringing your dog(s). Note that all pets must be housebroken and be crated or away during housekeeping services. For stay 31 nights or more, contact hotel for details.
Pet Fees
1–6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+18433028600,https://www.hyatt.com/hyatt-place/en-US/chszc-hyatt-place-charleston-airport-convention-center,2025-12-27T22:25:18.294938
chszn,Hyatt Place North Charleston,2455 Prospect Drive,"North Charleston, South Carolina, United States, 29406",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool']","Pets Are Welcome
Up to two dogs may be allowed in a room provided the combined weight of both dogs does not exceed 75 pounds. Pets exceeding these weights are at the hotel’s discretion. All pets must be housebroken. 31 nights or more: inquire with the hotel
Pet Fees
1–6 nights: $75 / 1 STAY
7–30 nights (includes cleaning fee) : $175 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $75 / 1 STAY\n7–30 nights (includes cleaning fee) : $175 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+18437357100,https://www.hyatt.com/hyatt-place/en-US/chszn-hyatt-place-north-charleston,2025-12-27T22:25:31.849622
cltzt,Hyatt Place Charlotte Airport / Lake Pointe,4119 South Stream Boulevard,"Charlotte, North Carolina, United States, 28217",,"['Business Services', 'Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Meeting Facilities', 'Self Parking', 'Park-Stay-Fly', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
We welcome your canine companions at Hyatt Place Charlotte Airport/Lake Pointe. Prior to your arrival, please call us at +1 704 357 8555 to let us know you’ll be bringing your dog(s). All dogs must be housebroken. Stays exceeding 30 nights or more: Please contact the hotel. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1–6 nights: $100 / 1 STAY
7-30 nights (Includes cleaning fee): $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7-30 nights (Includes cleaning fee): $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17043578555,https://www.hyatt.com/hyatt-place/en-US/cltzt-hyatt-place-charlotte-airport-lake-pointe,2025-12-27T22:25:44.863010
cltzo,Hyatt Place Charlotte Airport / Billy Graham Parkway,2950 Oak Lake Boulevard,"Charlotte, North Carolina, United States, 28208",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Restaurant On-Site']","Pets Are Welcome
You’re welcome to bring your four-legged friends with you when stay at Hyatt Place Charlotte Airport / Billy Graham Parkway, our pet-friendly hotel in Charlotte. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1–6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
30+ nights + additional cleaning fee: $300 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 74 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY\n30+ nights + additional cleaning fee: $300 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 74 Pounds']",+17044239931,https://www.hyatt.com/hyatt-place/en-US/cltzo-hyatt-place-charlotte-airport-billy-graham-parkway,2025-12-27T22:25:54.905905
cltzc,Hyatt Place Charlotte / Arrowood,7900 Forest Point Boulevard,"Charlotte, North Carolina, United States, 28273",,"['Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool']","Pets Are Welcome
Don’t let your pet miss out on the fun while you travel. Bring your furry friend along to our pet-friendly hotel near Carowinds so they can enjoy all the exciting sights and sounds of Charlotte. Call ahead at +1 704 522 8400 to let us know you'll be bringing canine company.
Pet Fees
1–6 nights: $100 / 1 STAY
7–30 nights + additional cleaning fee: $200 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights: $100 / 1 STAY\n7–30 nights + additional cleaning fee: $200 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17045228400,https://www.hyatt.com/hyatt-place/en-US/cltzc-hyatt-place-charlotte-arrowood,2025-12-27T22:26:05.411549
cltzu,Hyatt Place Charlotte Downtown,222 South Caldwell Street,"Charlotte, North Carolina, United States, 28202",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Restaurant On-Site']",,,,+17042270500,https://www.hyatt.com/hyatt-place/en-US/cltzu-hyatt-place-charlotte-downtown,2025-12-27T22:26:24.006698
chozc,Hyatt Place Charlottesville,2100 Bond Street,"Charlottesville, Virginia, United States, 22901",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Free Parking', 'Laundry', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site']","Pets Are Welcome
Dogs only are welcome at our hotel
Pet Fees
1–6 nights (nonrefundable fee): $100
7–30 nights (additional cleaning fee): $200
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1–6 nights (nonrefundable fee): $100\n7–30 nights (additional cleaning fee): $200'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+14349955200,https://www.hyatt.com/hyatt-place/en-US/chozc-hyatt-place-charlottesville,2025-12-27T22:26:36.436032
orfzc,Hyatt Place Chesapeake / Greenbrier,709 Eden Way North,"Chesapeake, Virginia, United States, 23320",,"['Business Services', 'Digital Check-In', 'Fitness Center', 'Free Breakfast', 'Free Internet Access', 'Free Parking', 'Meeting Facilities', 'Self-Parking', 'Pet Friendly', 'Pool']","Pets Are Welcome
Your furry friends are welcome at Hyatt Place Chesapeake/Greenbrier. All pets must be housebroken. Pets exceeding the weight limit are at the hotel’s discretion.
Pet Fees
1-6 Night stays: $100 / 1 STAY
7-30 Night Stays: $100 / 1 STAY + $100 Additional Fee deep cleaning fee for 7-30 Nights
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1-6 Night stays: $100 / 1 STAY\n7-30 Night Stays: $100 / 1 STAY + $100 Additional Fee deep cleaning fee for 7-30 Nights'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17573120020,https://www.hyatt.com/hyatt-place/en-US/orfzc-hyatt-place-chesapeake-greenbrier,2025-12-27T22:26:50.251459
chizp,Hyatt Place Chicago / Downtown - The Loop,28 North Franklin Street,"Chicago, Illinois, United States, 60606",,"['Business Services', 'Digital Check-In', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Hyatt Place Chicago/Downtown Parking information', 'Pet Friendly', 'Pool']","We Are Pet Friendly
Hyatt Place Chicago/Downtown-The Loop is a pet-friendly hotel in downtown Chicago. A maximum of two dogs per room permitted.
Pet Fees
Price: $100 / 1 STAY
Weight Limits
Individual pet weight limit:  25 Pounds
Maximum number of pets is 2.",['Pet Fees\nPrice: $100 / 1 STAY'],['Individual pet weight limit:  25 Pounds'],+13129550950,https://www.hyatt.com/hyatt-place/en-US/chizp-hyatt-place-chicago-downtown-the-loop,2025-12-27T22:27:04.484663
