hotel_code,hotel_name,address,city,state,country,phone,rating,description,card_price,overview_table_json,pets_json,parking_json,amenities_json,nearby_json,airport_json,is_pet_friendly,last_updated
MAR-1-1,TownePlace Suites by Marriott Bowling Green,"1818 Cave Mill Road Bowling Green, Kentucky, USA, 42104",Bowling Green,Kentucky,USA,+1 270-782-4714,4.2,Long and short stay convenience. You'll feel right at home! Free Wi-Fi and Hot Breakfast!,,https://www.marriott.com/hotels/travel/bwgts-towneplace-suites-bowling-green,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""One pet 30 pounds or less allowed wth USD 100 non-refundable fee per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""One pet 30 pounds or less allowed wth USD 100 non-refundable fee per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Storage space"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Nashville International Airport (BNA)"", ""details"": []}, {""airport"": ""Bowling Green/Warren County Regional Airport (BWG)"", ""details"": []}, {""airport"": ""Louisville Muhammad Ali International Airport (SDF)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""GoBG Public Transit"", ""Greyhound Bus Station"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 270-796-3677""]}]",true,2025-12-27T01:13:19.379194
MAR-1-3,TownePlace Suites by Marriott Corbin,"157 Arena Drive Corbin, Kentucky, USA, 40701",Corbin,Kentucky,USA,+1 606-215-3246,4.5,"Now open in Corbin, KY! Brand new extended stay hotel with modern comfort & easy access to I-75.",,https://www.marriott.com/hotels/travel/lexct-towneplace-suites-corbin,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets 60lbs max per pet per room with non-refundable fee | Non-refundable fee: 50 Per Stay | Contact hotel for details""}","{""raw"": ""2 pets 60lbs max per pet per room with non-refundable fee | Non-refundable fee: 50 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Building access"", ""Mail/package delivery"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Safe deposit boxes, front desk"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Housekeeping service daily""]",[],"[{""airport"": ""Knoxville McGhee Tyson Airport (TYS)"", ""details"": []}, {""airport"": ""Blue Grass Airport - Lexington (LEX)"", ""details"": []}]",true,2025-12-27T01:14:00.858809
MAR-1-5,Residence Inn by Marriott Cincinnati Airport,"2811 Circleport Drive Erlanger, Kentucky, USA, 41018",Erlanger,Kentucky,USA,+1 859-282-7400,4.1,Earn 2500 Bonus Points EVERY Night,,https://www.marriott.com/hotels/travel/cvgap-residence-inn-cincinnati-airport,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""1 pet 50 pounds max per room with USD 100 non-refundable fee per room per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""1 pet 50 pounds max per room with USD 100 non-refundable fee per room per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Airport shuttle"", ""Meeting event space"", ""Beauty shop"", ""Barber"", ""Cash machine/ATM"", ""Mobility accessible rooms"", ""Foreign exchange, nearby"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Concierge desk"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Limousine service"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Cincinnati/Northern Kentucky International Airport (CVG)"", ""details"": []}, {""airport"": ""Dayton International Airport (DAY)"", ""details"": []}, {""airport"": ""Blue Grass Airport - Lexington (LEX)"", ""details"": []}, {""airport"": ""Louisville Muhammad Ali International Airport (SDF)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Tank Bus Stop Circleport"", ""Greyhound"", ""Car Rentals"", ""Delta Airlines"", ""Northwest Airlines"", ""Continental Airlines"", ""Dollar"", ""Phone:"", ""+1 866-434-2226""]}]",true,2025-12-27T01:14:44.305674
MAR-1-7,Fairfield by Marriott Inn & Suites Lexington Georgetown/College Inn,"200 Tiger Way Georgetown, Kentucky, USA, 40324",Georgetown,Kentucky,USA,+1 502-868-9955,3.9,"New fully renovated hotel in Georgetown,KY.Easy access to Toyota, Ark Encounter,Kentucky Horse Park.",,https://www.marriott.com/hotels/travel/lexgt-fairfield-inn-and-suites-lexington-georgetown-college-inn,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""$75 USD fee per stay. Dogs only. Never leave dogs unattended. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}","{""raw"": ""$75 USD fee per stay. Dogs only. Never leave dogs unattended. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Cash machine/ATM"", ""Beauty shop"", ""Mobility accessible rooms"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Cincinnati/Northern Kentucky International Airport (CVG)"", ""details"": []}, {""airport"": ""Blue Grass Airport - Lexington (LEX)"", ""details"": []}, {""airport"": ""Louisville Muhammad Ali International Airport (SDF)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Meyers Dr & Degaris Mill Rd, SB"", ""Greyhound"", ""Car Rentals"", ""Hertz"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 502-863-2625""]}]",true,2025-12-27T01:15:27.132581
MAR-1-9,TownePlace Suites by Marriott Hopkinsville,"220 Richard Mills Drive Hopkinsville, Kentucky, USA, 42240",Hopkinsville,Kentucky,USA,+1 270-887-2509,4.2,Immerse yourself in cost saving amenities and modern extended stay hotel accommodations.,,https://www.marriott.com/hotels/travel/bnakv-towneplace-suites-hopkinsville,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets per room with USD 125 non-refundable fee per room per stay | Non-refundable fee: 125 Per Stay | Contact hotel for details""}","{""raw"": ""2 pets per room with USD 125 non-refundable fee per room per stay | Non-refundable fee: 125 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Mobility accessible rooms"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Newspaper in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Nashville International Airport (BNA)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 270-885-1200"", ""Hertz"", ""Phone:"", ""+1 270-886-7563""]}]",true,2025-12-27T01:16:08.601987
MAR-2-1,TownePlace Suites by Marriott Richmond,"2018 Colby Taylor Drive Richmond, Kentucky, USA, 40475",Richmond,Kentucky,USA,+1 859-353-4860,4.5,"Richmond, Kentucky has a new extended stay hotel in the market, TownePlace Suites by Marriott",,https://www.marriott.com/hotels/travel/lextr-towneplace-suites-richmond,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""1 pet 25 pounds max per room with USD 75 per room per stay non-refundable fee | Non-refundable fee: 75 Per Stay | Contact hotel for details""}","{""raw"": ""1 pet 25 pounds max per room with USD 75 per room per stay non-refundable fee | Non-refundable fee: 75 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Newspaper delivered to room, on request"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Cincinnati/Northern Kentucky International Airport (CVG)"", ""details"": []}, {""airport"": ""Blue Grass Airport - Lexington (LEX)"", ""details"": []}, {""airport"": ""Louisville Muhammad Ali International Airport (SDF)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Grey Hound"", ""Car Rentals"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 859-624-5575"", ""Hertz"", ""Phone:"", ""+1 859-625-0051""]}]",true,2025-12-27T01:16:58.623572
MAR-1-3,Residence Inn by Marriott Bangor,"22 Bass Park Boulevard Bangor, Maine, USA, 04401",Bangor,Maine,USA,+1 207-433-0800,4.8,"The Best Downtown Bangor, Maine Hotel near Bangor International Airport",,https://www.marriott.com/hotels/travel/bgrri-residence-inn-bangor,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets per room allowed with USD 100 cleaning fee plus USD 20 per day pet fee | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""2 pets per room allowed with USD 100 cleaning fee plus USD 20 per day pet fee | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Foreign exchange, nearby"", ""Storage space"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Grocery shopping service"", ""Safe deposit boxes, front desk"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Limousine service"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Portland International Jetport (PWM)"", ""details"": []}, {""airport"": ""Bangor International Airport (BGR)"", ""details"": []}, {""airport"": ""Hancock County - Bar Harbor Airport (BHB)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Greyhound"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 207-942-5519"", ""Train Station"", ""Amtrak""]}]",true,2025-12-27T01:19:38.192528
MAR-1-5,Residence Inn by Marriott Bath Brunswick Area,"139 Richardson Street Bath, Maine, USA, 04530",Bath,Maine,USA,+1 207-443-9741,4.7,,,https://www.marriott.com/hotels/travel/pwmba-residence-inn-bath-brunswick-area,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets per room/USD 20 per room per night plus USD 100 per room cleaning fee | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""2 pets per room/USD 20 per room per night plus USD 100 per room cleaning fee | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Newspaper in lobby"", ""Grocery shopping service"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Portland International Jetport (PWM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Mail It 4 U"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 207-406-2081""]}]",true,2025-12-27T01:20:19.895667
MAR-1-7,Aloft Portland Downtown Waterfront ME,"379 Commercial Street Portland, Maine, USA, 04101",Portland,Maine,USA,+1 207-761-6000,3.9,"Stylish waterfront hotel with pet-friendly guest rooms, lively bar and exceptional downtown location",,https://www.marriott.com/hotels/travel/pwmal-aloft-portland-downtown-waterfront-me,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets per room - 50 USD non-refundable fee per room per stay | Non-refundable fee: 50 Per Stay | Contact hotel for details""}","{""raw"": ""2 pets per room - 50 USD non-refundable fee per room per stay | Non-refundable fee: 50 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Grab-n-Go breakfast, fee from: 12 USD"", ""Storage space"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Portland International Jetport (PWM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Portland Park & Ride"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 207-774-6391"", ""Train Station"", ""Portland Transportation Center""]}]",true,2025-12-27T01:21:01.660725
MAR-1-9,Residence Inn by Marriott Portland Downtown/Waterfront,"145 Fore Street Portland, Maine, USA, 04101",Portland,Maine,USA,+1 207-761-1660,4.3,"All-suite hotel with full kitchens, free breakfast, indoor pool, lounge and meeting space",,https://www.marriott.com/hotels/travel/pwmdt-residence-inn-portland-downtown-waterfront,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 domestic pets per room with USD 100 non-refundable fee per room, per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""2 domestic pets per room with USD 100 non-refundable fee per room, per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Airport shuttle"", ""Meeting event space"", ""Cash machine/ATM"", ""Mobility accessible rooms"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Grocery shopping service"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Manchester-Boston Regional Airport (MHT)"", ""details"": []}, {""airport"": ""Portland International Jetport (PWM)"", ""details"": []}, {""airport"": ""Boston Logan International Airport (BOS)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Greater Portland Metro Bus"", ""Greyhound Bus Lines"", ""Concord Coach Lines"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 207-774-6391"", ""Train Station"", ""Amtrak Downeaster""]}]",true,2025-12-27T01:21:44.730364
MAR-1-1,Courtyard by Marriott Boston Andover,"10 Campanelli Drive Andover, Massachusetts, USA, 01810",Andover,Massachusetts,USA,+1 978-794-0700,4.2,"Fully renovated North Andover, MA, hotel with Topgolf Swing Suite, free Wi-Fi and dining on-site.",,https://www.marriott.com/hotels/travel/mhtch-courtyard-boston-andover,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""Pet fee $20/day with $100/stay nonrefundable clean fee excludes Service Animals | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Golf"", ""Meeting event space"", ""Barber"", ""Beauty shop"", ""Mobility accessible rooms"", ""Grab-n-Go breakfast, fee from: 12 USD"", ""Hot breakfast, fee from: 14 USD"", ""Continental breakfast, fee from: 12 USD"", ""Full American breakfast, fee from: 15 USD"", ""BISTRO"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Manchester-Boston Regional Airport (MHT)"", ""details"": []}, {""airport"": ""Boston Logan International Airport (BOS)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Sawyer and Lowell"", ""Sawyer and Lowell"", ""Car Rentals"", ""Hertz"", ""Hawk Rent A Car"", ""Phone:"", ""+1 978-469-8120"", ""Subway Station"", ""Oak Grove Station""]}]",true,2025-12-27T01:23:58.601095
MAR-1-3,Courtyard by Marriott Boston Billerica/Bedford,"270 Concord Road Billerica, Massachusetts, USA, 01821",Billerica,Massachusetts,USA,+1 978-670-7500,3.9,Modern hotel near UMass Lowell and internationally known corporations.,,https://www.marriott.com/hotels/travel/bosbb-courtyard-boston-billerica-bedford,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Up to two well behaved dogs/cats are allowed. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}","{""raw"": ""Up to two well behaved dogs/cats are allowed. | Non-refundable fee: 75 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Cash machine/ATM"", ""Barber"", ""Beauty shop"", ""Mobility accessible rooms"", ""Grab-n-Go breakfast, fee from: 15 USD"", ""Storage space"", ""BISTRO"", ""Cocktail lounge with light fare"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Local restaurant dinner delivery"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Manchester-Boston Regional Airport (MHT)"", ""details"": []}, {""airport"": ""Laurence G Hanscom Field (BED)"", ""details"": []}, {""airport"": ""Boston Logan International Airport (BOS)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 781-274-9944"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 978-667-6852"", ""Subway Station"", ""Alewife Station"", ""Train Station""]}]",true,2025-12-27T01:24:41.824663
MAR-1-5,AC Hotel Boston Downtown,"225 Albany Street Boston, Massachusetts, USA, 02118",Boston,Massachusetts,USA,+1 617-848-9063,4.1,Modern design complements historic hospitality at our Downtown South End Boston hotel.,,https://www.marriott.com/hotels/travel/boscd-ac-hotel-boston-downtown,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Pets up to 80lbs welcome. Maximum 2 per room. A $100 fee per stay applies. | Contact hotel for details""}","{""raw"": ""Pets up to 80lbs welcome. Maximum 2 per room. A $100 fee per stay applies. | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Cash machine/ATM"", ""Housekeeping service twice per week"", ""Mobility accessible rooms"", ""Foreign exchange, nearby"", ""Hot breakfast, fee from: 21 USD"", ""Buffet breakfast, fee from: 21 USD"", ""Full American breakfast, fee from: 21 USD"", ""Cocktail lounge with light fare"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Newspaper in lobby"", ""Concierge desk"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Gift/newsstand"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Worcester Regional Airport (ORH)"", ""details"": []}, {""airport"": ""Manchester-Boston Regional Airport (MHT)"", ""details"": []}, {""airport"": ""T F Green Airport (PVD)"", ""details"": []}, {""airport"": ""Boston Logan International Airport (BOS)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""SL4 SOUTH STATION"", ""#9 COPLEY East Berkeley Street @ Harrison Ave"", ""South Station"", ""Car Rentals"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 617-268-1411"", ""Hertz"", ""Phone:""]}]",true,2025-12-27T01:25:25.671557
MAR-1-7,"The Envoy Hotel, Autograph Collection","70 Sleeper Street Boston, Massachusetts, USA, 02210",Boston,Massachusetts,USA,+1 617-338-3030,4.1,"Exceptional location, stunning harbor views, rooftop bar & lounge, Latin-inspired restaurant.",,https://www.marriott.com/hotels/travel/bosak-the-envoy-hotel-autograph-collection,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""2 pets 50 pounds max per room with USD 100 non-refundable fee per room per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}","{""raw"": ""2 pets 50 pounds max per room with USD 100 non-refundable fee per room per stay | Non-refundable fee: 100 Per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Fitness center"", ""Pet friendly"", ""Mobility accessible rooms"", ""Cocktail lounge with light fare"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Concierge desk"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Front desk staffed"", ""Room service"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Manchester-Boston Regional Airport (MHT)"", ""details"": []}, {""airport"": ""T F Green Airport (PVD)"", ""details"": []}, {""airport"": ""Boston Logan International Airport (BOS)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""North Station"", ""South Station"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 617-568-5200"", ""Subway Station"", ""Courthouse Station"", ""South Station""]}]",true,2025-12-27T01:26:08.557233
MAR-1-9,Courtyard by Marriott Boston Logan Airport,"225 William F. McClellan Highway Boston, Massachusetts, USA, 02128",Boston,Massachusetts,USA,+1 617-569-5250,4,Modern Boston Logan Airport hotel with shuttle near Boston Convention and Exhibition Center.,,https://www.marriott.com/hotels/travel/bosla-courtyard-boston-logan-airport,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true, ""Pet Policy"": ""Two Dogs allowed at $75 per Stay | Contact hotel for details""}","{""raw"": ""Two Dogs allowed at $75 per Stay | Contact hotel for details""}",{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Airport shuttle"", ""Meeting event space"", ""Barber"", ""Beauty shop"", ""Cash machine/ATM"", ""Mobility accessible rooms"", ""Hot breakfast, fee from: 25 USD"", ""Continental breakfast, fee from: 22 USD"", ""Storage space"", ""Full American breakfast, fee from: 25 USD"", ""Cocktail lounge with light fare"", ""Coffee/tea in-room"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Limousine service"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Manchester-Boston Regional Airport (MHT)"", ""details"": []}, {""airport"": ""Boston Logan International Airport (BOS)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Wood Island Bus route 112"", ""Greyhound Bus Lines"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 617-568-5200"", ""Subway Station"", ""Orient Heights"", ""Train Station""]}]",true,2025-12-27T01:26:51.247163
